id	label	name	qualified_name	file_path	start_line	end_line
2984	Decorator	abstractmethod	<decorator:abstractmethod>		0	0
2980	Decorator	classmethod	<decorator:classmethod>		0	0
2983	Decorator	contextmanager	<decorator:contextmanager>		0	0
2982	Decorator	dataclass	<decorator:dataclass>		0	0
2977	Decorator	patch	<decorator:patch>		0	0
2981	Decorator	property	<decorator:property>		0	0
2975	Decorator	pytest.fixture	<decorator:pytest.fixture>		0	0
2979	Decorator	pytest.mark.skipif	<decorator:pytest.mark.skipif>		0	0
2978	Decorator	runtime_checkable	<decorator:runtime_checkable>		0	0
2976	Decorator	staticmethod	<decorator:staticmethod>		0	0
215	Folder	.github	D-twse..github	.github	0	0
214	Folder	workflows	D-twse..github.workflows	.github/workflows	0	0
213	File	ci.yml	D-twse..github.workflows.ci.__file__	.github/workflows/ci.yml	0	0
2766	Module	.github/workflows/ci.yml	D-twse..github.workflows.ci	.github/workflows/ci.yml	1	28
2769	Variable	name	D-twse..github.workflows.ci.name	.github/workflows/ci.yml	1	1
2768	Variable	on	D-twse..github.workflows.ci.on	.github/workflows/ci.yml	3	7
2767	Variable	jobs	D-twse..github.workflows.ci.jobs	.github/workflows/ci.yml	9	28
2	File	AGENTS.md	D-twse.AGENTS.__file__	AGENTS.md	0	0
2760	Module	AGENTS.md	D-twse.AGENTS	AGENTS.md	1	27
2761	Section	Ponytail, lazy senior dev mode	D-twse.AGENTS.Ponytail, lazy senior dev mode	AGENTS.md	1	2
13	File	MIGRATION_main_py.md	D-twse.MIGRATION_main_py.__file__	MIGRATION_main_py.md	0	0
1017	Section	MIGRATION: main.py God Module 拆分	D-twse.MIGRATION_main_py.MIGRATION: main.py God Module 拆分	MIGRATION_main_py.md	1	2
1016	Module	MIGRATION_main_py.md	D-twse.MIGRATION_main_py	MIGRATION_main_py.md	1	252
1018	Section	1. 變更摘要	D-twse.MIGRATION_main_py.1. 變更摘要	MIGRATION_main_py.md	10	11
1019	Section	2. 導入路徑對照表	D-twse.MIGRATION_main_py.2. 導入路徑對照表	MIGRATION_main_py.md	33	34
1020	Section	已搬移至 `twstock.utils`	D-twse.MIGRATION_main_py.已搬移至 `twstock.utils`	MIGRATION_main_py.md	35	36
1021	Section	已搬移至 `twstock.market_data`	D-twse.MIGRATION_main_py.已搬移至 `twstock.market_data`	MIGRATION_main_py.md	48	49
1022	Section	已搬移至 `twstock.commands.*`	D-twse.MIGRATION_main_py.已搬移至 `twstock.commands.*`	MIGRATION_main_py.md	57	58
1023	Section	已搬移至 `twstock.strategy.composites`	D-twse.MIGRATION_main_py.已搬移至 `twstock.strategy.composites`	MIGRATION_main_py.md	67	68
1024	Section	已搬移至 `twock.tui.*`	D-twse.MIGRATION_main_py.已搬移至 `twock.tui.*`	MIGRATION_main_py.md	73	74
1025	Section	3. CLI / TUI 使用者影響	D-twse.MIGRATION_main_py.3. CLI / TUI 使用者影響	MIGRATION_main_py.md	83	84
1026	Section	CLI	D-twse.MIGRATION_main_py.CLI	MIGRATION_main_py.md	85	86
1027	Section	TUI	D-twse.MIGRATION_main_py.TUI	MIGRATION_main_py.md	98	99
1028	Section	DB Admin	D-twse.MIGRATION_main_py.DB Admin	MIGRATION_main_py.md	108	109
1029	Section	4. 依賴關係變化	D-twse.MIGRATION_main_py.4. 依賴關係變化	MIGRATION_main_py.md	116	117
1030	Section	新增依賴	D-twse.MIGRATION_main_py.新增依賴	MIGRATION_main_py.md	118	119
1031	Section	移除依賴	D-twse.MIGRATION_main_py.移除依賴	MIGRATION_main_py.md	122	123
1032	Section	資料寫入路徑	D-twse.MIGRATION_main_py.資料寫入路徑	MIGRATION_main_py.md	129	130
1033	Section	5. 開發者遷移指引	D-twse.MIGRATION_main_py.5. 開發者遷移指引	MIGRATION_main_py.md	142	143
1034	Section	若曾直接引用 main.py 內部函式	D-twse.MIGRATION_main_py.若曾直接引用 main.py 內部函式	MIGRATION_main_py.md	144	145
1035	Section	若曾使用 db_admin.save_*	D-twse.MIGRATION_main_py.若曾使用 db_admin.save_*	MIGRATION_main_py.md	157	158
1036	Section	若曾使用 run_quick_analysis	D-twse.MIGRATION_main_py.若曾使用 run_quick_analysis	MIGRATION_main_py.md	169	170
1037	Section	6. 測試遷移	D-twse.MIGRATION_main_py.6. 測試遷移	MIGRATION_main_py.md	183	184
1038	Section	已刪除的測試	D-twse.MIGRATION_main_py.已刪除的測試	MIGRATION_main_py.md	185	186
1039	Section	已更新的測試	D-twse.MIGRATION_main_py.已更新的測試	MIGRATION_main_py.md	192	193
1040	Section	新增的測試	D-twse.MIGRATION_main_py.新增的測試	MIGRATION_main_py.md	199	200
1041	Section	7. 向後不相容處	D-twse.MIGRATION_main_py.7. 向後不相容處	MIGRATION_main_py.md	210	211
1042	Section	8. 未來計畫	D-twse.MIGRATION_main_py.8. 未來計畫	MIGRATION_main_py.md	223	224
1043	Section	9. 驗證清單	D-twse.MIGRATION_main_py.9. 驗證清單	MIGRATION_main_py.md	238	239
14	File	PROJECT_AUDIT.md	D-twse.PROJECT_AUDIT.__file__	PROJECT_AUDIT.md	0	0
2772	Module	PROJECT_AUDIT.md	D-twse.PROJECT_AUDIT	PROJECT_AUDIT.md	1	420
2773	Section	PROJECT_AUDIT.md - TRINITY 台股分析平台完整審計報告	D-twse.PROJECT_AUDIT.PROJECT_AUDIT.md - TRINITY 台股分析平台完整審計報告	PROJECT_AUDIT.md	1	2
2774	Section	1. Python Import 完整性	D-twse.PROJECT_AUDIT.1. Python Import 完整性	PROJECT_AUDIT.md	9	10
2775	Section	結論：大部分正常，但有條件性依賴	D-twse.PROJECT_AUDIT.結論：大部分正常，但有條件性依賴	PROJECT_AUDIT.md	11	12
2776	Section	2. Circular Import（迴圈匯入）	D-twse.PROJECT_AUDIT.2. Circular Import（迴圈匯入）	PROJECT_AUDIT.md	30	31
2777	Section	結論：無實際循環匯入錯誤	D-twse.PROJECT_AUDIT.結論：無實際循環匯入錯誤	PROJECT_AUDIT.md	32	33
2778	Section	3. 未使用 Module	D-twse.PROJECT_AUDIT.3. 未使用 Module	PROJECT_AUDIT.md	41	42
2779	Section	結論：發現未使用的 import	D-twse.PROJECT_AUDIT.結論：發現未使用的 import	PROJECT_AUDIT.md	43	44
2780	Section	4. 重複 Function	D-twse.PROJECT_AUDIT.4. 重複 Function	PROJECT_AUDIT.md	57	58
2781	Section	結論：大量重複，需重構	D-twse.PROJECT_AUDIT.結論：大量重複，需重構	PROJECT_AUDIT.md	59	60
2782	Section	5. Dead Code（死碼）	D-twse.PROJECT_AUDIT.5. Dead Code（死碼）	PROJECT_AUDIT.md	80	81
2783	Section	結論：存在大量死碼	D-twse.PROJECT_AUDIT.結論：存在大量死碼	PROJECT_AUDIT.md	82	83
2784	Section	6. 重複 SQL	D-twse.PROJECT_AUDIT.6. 重複 SQL	PROJECT_AUDIT.md	101	102
2785	Section	結論：存在大量重複 SQL 查詢	D-twse.PROJECT_AUDIT.結論：存在大量重複 SQL 查詢	PROJECT_AUDIT.md	103	104
2786	Section	7. 未被呼叫的 Function	D-twse.PROJECT_AUDIT.7. 未被呼叫的 Function	PROJECT_AUDIT.md	114	115
2787	Section	結論：多數策略模組的 main() 可被呼叫但無法從外部觸發	D-twse.PROJECT_AUDIT.結論：多數策略模組的 main() 可被呼叫但無法從外部觸發	PROJECT_AUDIT.md	116	117
2788	Section	8. Exception 未處理	D-twse.PROJECT_AUDIT.8. Exception 未處理	PROJECT_AUDIT.md	134	135
2789	Section	結論：嚴重問題 — 大量裸 except 和過於寬泛的 except	D-twse.PROJECT_AUDIT.結論：嚴重問題 — 大量裸 except 和過於寬泛的 except	PROJECT_AUDIT.md	136	137
2790	Section	9. API Timeout	D-twse.PROJECT_AUDIT.9. API Timeout	PROJECT_AUDIT.md	160	161
2791	Section	結論：OK - 所有已知 HTTP 請求都有 timeout 參數	D-twse.PROJECT_AUDIT.結論：OK - 所有已知 HTTP 請求都有 timeout 參數	PROJECT_AUDIT.md	162	163
2792	Section	10. Requests Retry	D-twse.PROJECT_AUDIT.10. Requests Retry	PROJECT_AUDIT.md	169	170
2793	Section	結論：已大幅改善 - 新增 retry.py 共用模組	D-twse.PROJECT_AUDIT.結論：已大幅改善 - 新增 retry.py 共用模組	PROJECT_AUDIT.md	171	172
2794	Section	11. SQLite Lock 風險	D-twse.PROJECT_AUDIT.11. SQLite Lock 風險	PROJECT_AUDIT.md	193	194
2795	Section	結論：中等風險 - 部分檔案繞過統一連接工廠	D-twse.PROJECT_AUDIT.結論：中等風險 - 部分檔案繞過統一連接工廠	PROJECT_AUDIT.md	195	196
2796	Section	12. N+1 Query	D-twse.PROJECT_AUDIT.12. N+1 Query	PROJECT_AUDIT.md	217	218
2797	Section	結論：存在多处 N+1 查詢模式	D-twse.PROJECT_AUDIT.結論：存在多处 N+1 查詢模式	PROJECT_AUDIT.md	219	220
2798	Section	13. Memory Leak	D-twse.PROJECT_AUDIT.13. Memory Leak	PROJECT_AUDIT.md	234	235
2799	Section	結論：中等風險	D-twse.PROJECT_AUDIT.結論：中等風險	PROJECT_AUDIT.md	236	237
2800	Section	14. Type Error	D-twse.PROJECT_AUDIT.14. Type Error	PROJECT_AUDIT.md	266	267
2801	Section	結論：存在潛在類型錯誤	D-twse.PROJECT_AUDIT.結論：存在潛在類型錯誤	PROJECT_AUDIT.md	268	269
2802	Section	15. CLI 可執行性	D-twse.PROJECT_AUDIT.15. CLI 可執行性	PROJECT_AUDIT.md	283	284
2803	Section	結論：大部分 OK，有 2 個問題	D-twse.PROJECT_AUDIT.結論：大部分 OK，有 2 個問題	PROJECT_AUDIT.md	285	286
2804	Section	16. Strategy Import 可執行性	D-twse.PROJECT_AUDIT.16. Strategy Import 可執行性	PROJECT_AUDIT.md	309	310
2805	Section	結論：5 個策略模組均可 import，但部分依賴條件性套件	D-twse.PROJECT_AUDIT.結論：5 個策略模組均可 import，但部分依賴條件性套件	PROJECT_AUDIT.md	311	312
2806	Section	17. JSON Output 規格	D-twse.PROJECT_AUDIT.17. JSON Output 規格	PROJECT_AUDIT.md	323	324
2807	Section	結論：不一致	D-twse.PROJECT_AUDIT.結論：不一致	PROJECT_AUDIT.md	325	326
2808	Section	18. Rich Console 正常性	D-twse.PROJECT_AUDIT.18. Rich Console 正常性	PROJECT_AUDIT.md	336	337
2809	Section	結論：Rich Console 使用正確	D-twse.PROJECT_AUDIT.結論：Rich Console 使用正確	PROJECT_AUDIT.md	338	339
2810	Section	19. 資料流是否符合 ARCHITECTURE.md	D-twse.PROJECT_AUDIT.19. 資料流是否符合 ARCHITECTURE.md	PROJECT_AUDIT.md	348	349
2811	Section	結論：部分符合，有架構偏差	D-twse.PROJECT_AUDIT.結論：部分符合，有架構偏差	PROJECT_AUDIT.md	350	351
2812	Section	20. Coding Rule 是否符合 PROJECT_RULES.md	D-twse.PROJECT_AUDIT.20. Coding Rule 是否符合 PROJECT_RULES.md	PROJECT_AUDIT.md	361	362
2813	Section	結論：有違反	D-twse.PROJECT_AUDIT.結論：有違反	PROJECT_AUDIT.md	363	364
2814	Section	修復進度追蹤	D-twse.PROJECT_AUDIT.修復進度追蹤	PROJECT_AUDIT.md	380	381
2815	Section	已修復項目	D-twse.PROJECT_AUDIT.已修復項目	PROJECT_AUDIT.md	408	409
2816	Section	持續進行中的高優先修復建議（Top 5）：	D-twse.PROJECT_AUDIT.持續進行中的高優先修復建議（Top 5）：	PROJECT_AUDIT.md	414	415
17	File	README.md	D-twse.README.__file__	README.md	0	0
2309	Module	README.md	D-twse.README	README.md	1	408
2310	Section	TRINITY 台股分析平台	D-twse.README.TRINITY 台股分析平台	README.md	1	2
2311	Section	目錄	D-twse.README.目錄	README.md	14	15
2312	Section	1. 平台概述	D-twse.README.1. 平台概述	README.md	27	28
2313	Section	核心功能	D-twse.README.核心功能	README.md	31	32
2314	Section	目標用戶	D-twse.README.目標用戶	README.md	38	39
2315	Section	2. 頁面架構	D-twse.README.2. 頁面架構	README.md	45	46
2316	Section	2.1 儀表板（Dashboard）	D-twse.README.2.1 儀表板（Dashboard）	README.md	47	48
2317	Section	2.2 市場分析（Markets）	D-twse.README.2.2 市場分析（Markets）	README.md	75	76
2318	Section	2.3 策略模組（Strategies）	D-twse.README.2.3 策略模組（Strategies）	README.md	105	106
2319	Section	2.4 AI 分析（AI Analysis）	D-twse.README.2.4 AI 分析（AI Analysis）	README.md	120	121
2320	Section	2.5 設定（Settings）	D-twse.README.2.5 設定（Settings）	README.md	153	154
2321	Section	3. 數據來源	D-twse.README.3. 數據來源	README.md	173	174
2322	Section	3.1 數據來源優先級	D-twse.README.3.1 數據來源優先級	README.md	175	176
2323	Section	3.2 FinMind API 數據集（12 個免費）	D-twse.README.3.2 FinMind API 數據集（12 個免費）	README.md	185	186
2324	Section	3.3 日期範圍	D-twse.README.3.3 日期範圍	README.md	202	203
2325	Section	4. AI 分析數據收集與分析流程	D-twse.README.4. AI 分析數據收集與分析流程	README.md	209	210
2326	Section	4.1 數據收集策略	D-twse.README.4.1 數據收集策略	README.md	211	212
2327	Section	4.2 單一報告生成流程	D-twse.README.4.2 單一報告生成流程	README.md	222	223
2328	Section	4.3 LongCat API 請求格式	D-twse.README.4.3 LongCat API 請求格式	README.md	249	250
2329	Section	4.4 Prompt 模板對應表	D-twse.README.4.4 Prompt 模板對應表	README.md	269	270
2330	Section	5. API 使用限制	D-twse.README.5. API 使用限制	README.md	285	286
2331	Section	5.1 FinMind API（免費會員）	D-twse.README.5.1 FinMind API（免費會員）	README.md	287	288
2332	Section	5.2 LongCat API	D-twse.README.5.2 LongCat API	README.md	295	296
2333	Section	5.3 Supabase	D-twse.README.5.3 Supabase	README.md	303	304
2334	Section	6. 技術棧	D-twse.README.6. 技術棧	README.md	312	313
2335	Section	6.0 實作主體（持續維護）	D-twse.README.6.0 實作主體（持續維護）	README.md	314	315
2336	Section	6.1 前端（未維護，位於 `twse-app/` 子資料夾）	D-twse.README.6.1 前端（未維護，位於 `twse-app/` 子資料夾）	README.md	321	322
2337	Section	6.2 後端（未維護，屬舊 `twse-app/` 架構）	D-twse.README.6.2 後端（未維護，屬舊 `twse-app/` 架構）	README.md	329	330
2338	Section	6.3 外部 API	D-twse.README.6.3 外部 API	README.md	334	335
2339	Section	7. 檔案結構	D-twse.README.7. 檔案結構	README.md	341	342
2340	Section	8. 待辦事項	D-twse.README.8. 待辦事項	README.md	386	387
2341	Section	8.1 高優先級	D-twse.README.8.1 高優先級	README.md	388	389
2342	Section	8.2 中優先級	D-twse.README.8.2 中優先級	README.md	393	394
2343	Section	8.3 低優先級	D-twse.README.8.3 低優先級	README.md	398	399
21	File	_api_test.py	D-twse._api_test.__file__	_api_test.py	0	0
2527	Module	_api_test.py	D-twse._api_test	_api_test.py	1	577
2535	Variable	log	D-twse._api_test.log	_api_test.py	31	31
2536	Variable	RESULTS	D-twse._api_test.RESULTS	_api_test.py	33	33
2528	Function	record	D-twse._api_test.record	_api_test.py	36	51
2529	Function	test_finmind	D-twse._api_test.test_finmind	_api_test.py	57	149
2530	Function	test_twse	D-twse._api_test.test_twse	_api_test.py	155	251
2531	Function	test_tpex	D-twse._api_test.test_tpex	_api_test.py	257	335
2532	Function	test_tdcc	D-twse._api_test.test_tdcc	_api_test.py	341	385
2533	Function	test_longcat	D-twse._api_test.test_longcat	_api_test.py	391	463
2534	Function	test_kronos	D-twse._api_test.test_kronos	_api_test.py	469	542
3	File	api-response-example.json	D-twse.api-response-example.__file__	api-response-example.json	0	0
266	Module	api-response-example.json	D-twse.api-response-example	api-response-example.json	1	284
269	Variable	說明	D-twse.api-response-example.說明	api-response-example.json	2	2
268	Variable	endpoints	D-twse.api-response-example.endpoints	api-response-example.json	4	271
281	Variable	GET /api/twse-stats	D-twse.api-response-example.GET /api/twse-stats	api-response-example.json	5	33
280	Variable	GET /api/otc-stats	D-twse.api-response-example.GET /api/otc-stats	api-response-example.json	35	63
293	Variable	index	D-twse.api-response-example.index	api-response-example.json	52	52
291	Variable	changePercent	D-twse.api-response-example.changePercent	api-response-example.json	54	54
289	Variable	limitUp	D-twse.api-response-example.limitUp	api-response-example.json	56	56
288	Variable	up	D-twse.api-response-example.up	api-response-example.json	57	57
287	Variable	flat	D-twse.api-response-example.flat	api-response-example.json	58	58
286	Variable	down	D-twse.api-response-example.down	api-response-example.json	59	59
285	Variable	limitDown	D-twse.api-response-example.limitDown	api-response-example.json	60	60
296	Variable	_source	D-twse.api-response-example._source	api-response-example.json	61	61
279	Variable	GET /api/dashboard/recent-dividend	D-twse.api-response-example.GET /api/dashboard/recent-dividend	api-response-example.json	65	95
300	Variable	cash_dividend	D-twse.api-response-example.cash_dividend	api-response-example.json	81	81
299	Variable	stock_dividend	D-twse.api-response-example.stock_dividend	api-response-example.json	82	82
282	Variable	failure_response	D-twse.api-response-example.failure_response	api-response-example.json	90	94
303	Variable	error	D-twse.api-response-example.error	api-response-example.json	92	92
278	Variable	GET /api/dashboard/trust-buy-2day	D-twse.api-response-example.GET /api/dashboard/trust-buy-2day	api-response-example.json	97	118
306	Variable	prev_volume	D-twse.api-response-example.prev_volume	api-response-example.json	108	108
305	Variable	latest_trust_net	D-twse.api-response-example.latest_trust_net	api-response-example.json	109	109
304	Variable	trust_days	D-twse.api-response-example.trust_days	api-response-example.json	110	110
277	Variable	GET /api/dashboard/break-ma200	D-twse.api-response-example.GET /api/dashboard/break-ma200	api-response-example.json	120	143
314	Variable	latest_close	D-twse.api-response-example.latest_close	api-response-example.json	129	129
313	Variable	prev_ma200	D-twse.api-response-example.prev_ma200	api-response-example.json	130	130
312	Variable	latest_ma200	D-twse.api-response-example.latest_ma200	api-response-example.json	131	131
276	Variable	GET /api/dashboard/limit-up-yesterday	D-twse.api-response-example.GET /api/dashboard/limit-up-yesterday	api-response-example.json	145	166
315	Variable	vol_explosion_pct	D-twse.api-response-example.vol_explosion_pct	api-response-example.json	157	157
310	Variable	volume_change_pct	D-twse.api-response-example.volume_change_pct	api-response-example.json	158	158
297	Variable	empty_response	D-twse.api-response-example.empty_response	api-response-example.json	162	165
275	Variable	GET /api/movers	D-twse.api-response-example.GET /api/movers	api-response-example.json	168	196
317	Variable	gainers	D-twse.api-response-example.gainers	api-response-example.json	173	183
316	Variable	losers	D-twse.api-response-example.losers	api-response-example.json	184	194
318	Variable	price	D-twse.api-response-example.price	api-response-example.json	189	189
307	Variable	prev_close	D-twse.api-response-example.prev_close	api-response-example.json	190	190
292	Variable	change	D-twse.api-response-example.change	api-response-example.json	191	191
311	Variable	change_pct	D-twse.api-response-example.change_pct	api-response-example.json	192	192
274	Variable	GET /api/stock/search?q=	D-twse.api-response-example.GET /api/stock/search?q=	api-response-example.json	198	211
302	Variable	stock_id	D-twse.api-response-example.stock_id	api-response-example.json	204	204
301	Variable	stock_name	D-twse.api-response-example.stock_name	api-response-example.json	205	205
319	Variable	market	D-twse.api-response-example.market	api-response-example.json	206	206
320	Variable	industry_category	D-twse.api-response-example.industry_category	api-response-example.json	207	207
273	Variable	GET /api/stock/:id/history	D-twse.api-response-example.GET /api/stock/:id/history	api-response-example.json	213	229
323	Variable	open	D-twse.api-response-example.open	api-response-example.json	220	220
322	Variable	high	D-twse.api-response-example.high	api-response-example.json	221	221
321	Variable	low	D-twse.api-response-example.low	api-response-example.json	222	222
309	Variable	close	D-twse.api-response-example.close	api-response-example.json	223	223
308	Variable	volume	D-twse.api-response-example.volume	api-response-example.json	224	224
290	Variable	amount	D-twse.api-response-example.amount	api-response-example.json	225	225
272	Variable	GET /api/stock/:id/indicators	D-twse.api-response-example.GET /api/stock/:id/indicators	api-response-example.json	231	245
330	Variable	ma5	D-twse.api-response-example.ma5	api-response-example.json	236	236
329	Variable	ma20	D-twse.api-response-example.ma20	api-response-example.json	237	237
328	Variable	ma60	D-twse.api-response-example.ma60	api-response-example.json	238	238
327	Variable	ma200	D-twse.api-response-example.ma200	api-response-example.json	239	239
326	Variable	rsi	D-twse.api-response-example.rsi	api-response-example.json	240	240
325	Variable	support	D-twse.api-response-example.support	api-response-example.json	241	241
324	Variable	pressure	D-twse.api-response-example.pressure	api-response-example.json	242	242
271	Variable	GET /api/stock/:id/institutional	D-twse.api-response-example.GET /api/stock/:id/institutional	api-response-example.json	247	261
283	Variable	success_response	D-twse.api-response-example.success_response	api-response-example.json	249	260
298	Variable	data	D-twse.api-response-example.data	api-response-example.json	251	259
294	Variable	date	D-twse.api-response-example.date	api-response-example.json	253	253
334	Variable	foreign_net	D-twse.api-response-example.foreign_net	api-response-example.json	254	254
333	Variable	trust_net	D-twse.api-response-example.trust_net	api-response-example.json	255	255
332	Variable	dealer_net	D-twse.api-response-example.dealer_net	api-response-example.json	256	256
331	Variable	institutional_net	D-twse.api-response-example.institutional_net	api-response-example.json	257	257
270	Variable	GET /api/health	D-twse.api-response-example.GET /api/health	api-response-example.json	263	270
284	Variable	description	D-twse.api-response-example.description	api-response-example.json	264	264
335	Variable	response	D-twse.api-response-example.response	api-response-example.json	265	269
295	Variable	success	D-twse.api-response-example.success	api-response-example.json	266	266
337	Variable	sqlite	D-twse.api-response-example.sqlite	api-response-example.json	267	267
336	Variable	time	D-twse.api-response-example.time	api-response-example.json	268	268
267	Variable	data_rules	D-twse.api-response-example.data_rules	api-response-example.json	273	282
210	Folder	audit	D-twse.audit	audit	0	0
209	File	FINAL_REPORT.md	D-twse.audit.FINAL_REPORT.__file__	audit/FINAL_REPORT.md	0	0
1060	Section	TWSE-ANYTARA 深度審查最終報告	D-twse.audit.FINAL_REPORT.TWSE-ANYTARA 深度審查最終報告	audit/FINAL_REPORT.md	1	2
1059	Module	audit/FINAL_REPORT.md	D-twse.audit.FINAL_REPORT	audit/FINAL_REPORT.md	1	126
1061	Section	Executive Summary	D-twse.audit.FINAL_REPORT.Executive Summary	audit/FINAL_REPORT.md	8	9
1062	Section	P0 緊急處理項目（必須 1 週內處理）	D-twse.audit.FINAL_REPORT.P0 緊急處理項目（必須 1 週內處理）	audit/FINAL_REPORT.md	15	16
1063	Section	P1 優先處理項目（2 ~ 4 週）	D-twse.audit.FINAL_REPORT.P1 優先處理項目（2 ~ 4 週）	audit/FINAL_REPORT.md	21	22
1064	Section	1. MarketsView 整合性拆分（高優先度）	D-twse.audit.FINAL_REPORT.1. MarketsView 整合性拆分（高優先度）	audit/FINAL_REPORT.md	23	24
1065	Section	2. server.ts 中 API 路徑進行 Router 插件化（中優先度）	D-twse.audit.FINAL_REPORT.2. server.ts 中 API 路徑進行 Router 插件化（中優先度）	audit/FINAL_REPORT.md	31	32
1066	Section	P2 優化項目	D-twse.audit.FINAL_REPORT.P2 優化項目	audit/FINAL_REPORT.md	41	42
1067	Section	1. 減少 Any 型別定義以符合 TypeScript 嚴格檢查（低優先度）	D-twse.audit.FINAL_REPORT.1. 減少 Any 型別定義以符合 TypeScript 嚴格檢查（低優先度）	audit/FINAL_REPORT.md	43	44
1068	Section	2. 優化 SQLite 連線重組週期（低優先度）	D-twse.audit.FINAL_REPORT.2. 優化 SQLite 連線重組週期（低優先度）	audit/FINAL_REPORT.md	47	48
1069	Section	可刪除檔案清冊	D-twse.audit.FINAL_REPORT.可刪除檔案清冊	audit/FINAL_REPORT.md	52	53
1070	Section	可移除套件清冊	D-twse.audit.FINAL_REPORT.可移除套件清冊	audit/FINAL_REPORT.md	60	61
1071	Section	建議模組拆分	D-twse.audit.FINAL_REPORT.建議模組拆分	audit/FINAL_REPORT.md	70	71
1072	Section	前端	D-twse.audit.FINAL_REPORT.前端	audit/FINAL_REPORT.md	72	73
1073	Section	後端	D-twse.audit.FINAL_REPORT.後端	audit/FINAL_REPORT.md	79	80
1074	Section	安全性問題總表	D-twse.audit.FINAL_REPORT.安全性問題總表	audit/FINAL_REPORT.md	89	90
1075	Section	效能瓶頸 TOP 10 與 SQLite 查詢優化建議	D-twse.audit.FINAL_REPORT.效能瓶頸 TOP 10 與 SQLite 查詢優化建議	audit/FINAL_REPORT.md	99	100
1076	Section	預估改善效益	D-twse.audit.FINAL_REPORT.預估改善效益	audit/FINAL_REPORT.md	112	113
211	File	repository.md	D-twse.audit.repository.__file__	audit/repository.md	0	0
1814	Section	TWSE-ANYTARA Repository Cleanup Audit (`audit/repository.md`)	D-twse.audit.repository.TWSE-ANYTARA Repository Cleanup Audit (`audit/repository.md`)	audit/repository.md	1	2
1813	Module	audit/repository.md	D-twse.audit.repository	audit/repository.md	1	63
1815	Section	1. Debris & Temporary File Status	D-twse.audit.repository.1. Debris & Temporary File Status	audit/repository.md	5	6
1816	Section	2. `.gitignore` Configuration Analysis	D-twse.audit.repository.2. `.gitignore` Configuration Analysis	audit/repository.md	22	23
1817	Section	Exclusions Verification:	D-twse.audit.repository.Exclusions Verification:	audit/repository.md	38	39
1818	Section	3. Database Purging Strategy Analysis	D-twse.audit.repository.3. Database Purging Strategy Analysis	audit/repository.md	44	45
1819	Section	4. Remedial Actions & Standard Policy	D-twse.audit.repository.4. Remedial Actions & Standard Policy	audit/repository.md	58	59
212	File	structure.md	D-twse.audit.structure.__file__	audit/structure.md	0	0
644	Section	TWSE-ANYTARA Directory Structure Map	D-twse.audit.structure.TWSE-ANYTARA Directory Structure Map	audit/structure.md	1	2
643	Module	audit/structure.md	D-twse.audit.structure	audit/structure.md	1	79
645	Section	Structural Summary	D-twse.audit.structure.Structural Summary	audit/structure.md	75	76
4	File	auto-iterate-forever.sh	D-twse.auto-iterate-forever.__file__	auto-iterate-forever.sh	0	0
658	Module	auto-iterate-forever.sh	D-twse.auto-iterate-forever	auto-iterate-forever.sh	1	113
2578	Variable	MAX_CONSECUTIVE_SAME_ERROR	D-twse.auto-iterate-forever.MAX_CONSECUTIVE_SAME_ERROR	auto-iterate-forever.sh	3	3
2579	Variable	MAX_TURNS	D-twse.auto-iterate-forever.MAX_TURNS	auto-iterate-forever.sh	4	4
2580	Variable	PROJECT_DIR	D-twse.auto-iterate-forever.PROJECT_DIR	auto-iterate-forever.sh	5	5
2581	Variable	RULES_FILE	D-twse.auto-iterate-forever.RULES_FILE	auto-iterate-forever.sh	6	6
2582	Variable	API_EXAMPLE_FILE	D-twse.auto-iterate-forever.API_EXAMPLE_FILE	auto-iterate-forever.sh	7	7
2583	Variable	previous_error_hash	D-twse.auto-iterate-forever.previous_error_hash	auto-iterate-forever.sh	22	22
2584	Variable	consecutive_count	D-twse.auto-iterate-forever.consecutive_count	auto-iterate-forever.sh	23	23
2585	Variable	iteration	D-twse.auto-iterate-forever.iteration	auto-iterate-forever.sh	24	24
5	File	auto-iterate.sh	D-twse.auto-iterate.__file__	auto-iterate.sh	0	0
2727	Module	auto-iterate.sh	D-twse.auto-iterate	auto-iterate.sh	1	88
2740	Variable	MAX_ITERATIONS	D-twse.auto-iterate.MAX_ITERATIONS	auto-iterate.sh	5	5
2741	Variable	CHECK_COMMAND	D-twse.auto-iterate.CHECK_COMMAND	auto-iterate.sh	6	6
2742	Variable	PROJECT_DIR	D-twse.auto-iterate.PROJECT_DIR	auto-iterate.sh	7	7
2743	Variable	RULES_FILE	D-twse.auto-iterate.RULES_FILE	auto-iterate.sh	8	8
2744	Variable	ALLOWED_TOOLS	D-twse.auto-iterate.ALLOWED_TOOLS	auto-iterate.sh	11	11
2745	Variable	MAX_TURNS	D-twse.auto-iterate.MAX_TURNS	auto-iterate.sh	12	12
6	File	check-node.ps1	D-twse.check-node.__file__	check-node.ps1	0	0
2525	Module	check-node.ps1	D-twse.check-node	check-node.ps1	1	5
7	File	check-server.ps1	D-twse.check-server.__file__	check-server.ps1	0	0
1881	Module	check-server.ps1	D-twse.check-server	check-server.ps1	1	7
8	File	check_skills.ps1	D-twse.check_skills.__file__	check_skills.ps1	0	0
1137	Module	check_skills.ps1	D-twse.check_skills	check_skills.ps1	1	12
